,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
1218114,2020-01-07 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,91,20,203
1049722,2020-01-07 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,24,219
280894,2020-01-07 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,89,27,170
177741,2020-01-07 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,29,164
963417,2020-01-07 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,87,24,328
616937,2020-01-07 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,92,40,312
240896,2020-01-07 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,124,44,247
219746,2020-01-07 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,114,55,226
329043,2020-01-08 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,118,53,205
952117,2020-01-08 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,125,47,112
288443,2020-01-08 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,7,112,57,64
890853,2020-01-08 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,10,119,61,40
1185529,2020-01-08 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,3,116,54,60
823242,2020-01-08 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,123,58,153
355251,2020-01-08 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,110,57,373
333971,2020-01-08 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,37,382
727104,2020-01-08 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,90,22,238
905188,2020-01-08 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,89,30,267
27828,2020-01-08 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,108,33,316
852851,2020-01-08 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,95,33,323
701247,2020-01-08 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,111,33,278
341795,2020-01-08 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,34,255
37870,2020-01-08 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,31,234
309210,2020-01-08 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,20,239
398195,2020-01-08 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,21,210
650554,2020-01-08 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,87,24,236
806241,2020-01-08 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,77,19,159
822423,2020-01-08 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,97,20,217
315356,2020-01-08 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,99,23,310
458492,2020-01-08 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,116,44,253
338807,2020-01-08 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,113,49,205
985184,2020-01-08 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,56,253
790888,2020-01-09 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,115,50,215
